timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
12391958,0.2961378,-0.1284321,1.9160905,4104,0,-0.40248233,-1.3695396,-8.996929,4104
12395854,-0.17189233,-0.09414523,1.8727107,3896,0,-2.5654688,-2.6773064,-14.50461,3896
12399854,-0.07105857,0.16834186,1.8979688,4000,0,2.3166559,3.6490812,-8.118443,4000
12403858,0.27801397,-0.05488642,1.9303689,4004,0,0.03603113,-1.6803584,-8.722358,4004
12407915,-0.16088551,-0.038328145,1.8427526,4057,0,-1.0168736,-1.831791,-11.546459,4057
12411864,0.060846027,0.1835151,1.8762615,3949,0,0.706477,2.3878052,-10.134898,3949
12415886,0.101112045,0.039967425,1.8464811,4022,0,0.9339423,-1.402047,-8.223478,4022
12419854,-0.106018655,-0.02860113,1.7951711,3968,0,0.06785691,-0.44206193,-9.189188,3968
12423854,0.05347196,0.1718883,1.882636,4000,0,-1.6587006,1.3745552,-11.659865,4000
12427857,-0.052168507,0.071293175,1.8509356,4003,0,0.75731367,0.13587466,-9.488153,4003
12431863,0.09368546,-0.055328503,1.8608693,4006,0,1.3205833,-0.004951865,-7.8678145,4006
12435854,0.038086142,0.14185424,1.945688,3991,0,-2.1559129,-1.5032351,-10.519022,3991
12439854,-0.1981772,0.13525443,1.8849272,4000,0,-0.20593153,2.1958358,-9.392529,4000
12443890,0.23554282,-0.05213105,1.9149349,4036,0,0.9883138,1.293466,-9.428791,4036
12447857,0.049045686,0.06122364,1.9441805,3967,0,-1.022665,-5.0811434,-10.923214,3967
12451862,-0.28739893,0.21092273,1.8231329,4005,0,0.88920337,2.1186035,-6.8229785,4005
12455896,0.27958342,-0.028535912,1.8272209,4034,0,0.17092122,2.4331124,-9.185343,4034
12459854,0.043914422,-0.008426942,1.8360656,3958,0,-1.0430555,-5.1240163,-12.327959,3958
12463854,-0.27601728,0.2178758,1.7458355,4000,0,1.77257,1.5602733,-6.7429414,4000
12467892,0.241238,0.030290157,1.7873273,4038,0,0.07518723,2.8472967,-8.506506,4038
12471863,0.04628345,-0.06967328,1.8119937,3971,0,-1.6298243,-3.7436,-12.914649,3971
12475873,-0.17506348,0.2076159,1.7617501,4010,0,1.9157717,0.7953803,-7.7389774,4010
12479854,0.14975263,0.051662695,1.8030789,3981,0,-0.09471788,2.044231,-8.707547,3981
12483854,0.032560132,-0.069815174,1.7978408,4000,0,-1.2785566,-2.5226166,-12.850877,4000
12487854,-0.07578604,0.18213886,1.7202393,4000,0,1.6330566,-0.13676059,-8.430064,4000
12491865,0.16129334,0.0602012,1.7106738,4011,0,0.33107847,1.2786083,-8.720594,4011
12495878,0.052339654,-0.04969411,1.6863108,4013,0,-1.7069641,-2.0902414,-13.20976,4013
12499854,-0.013933549,0.14161655,1.5979818,3976,0,1.3814634,-0.3629489,-8.946745,3976
12503854,0.10739849,0.07045149,1.583123,4000,0,1.2496303,0.16767977,-8.658094,4000
12507854,0.030996418,-0.014150197,1.5751064,4000,0,-1.7689507,-0.30723995,-12.57932,4000
12512654,0.007962996,0.09524599,1.495838,4800,0,0.011584283,-0.2346012,-8.962527,4800
12516670,0.027424693,0.05193966,1.536467,4016,0,1.7451966,-0.16416605,-8.42531,4016
12521454,0.011773856,0.042831093,1.529705,4784,0,-0.4515721,-0.37398055,-9.87339,4784
12525454,-0.0801542,0.050980724,1.4758642,4000,0,0.13302195,-0.1704809,-9.574666,4000
