timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
100708781,100708669,0.11406115,-0.05714536,0.0723232,0.38961563,0.0,0.0,0.0,-1.0
100712816,100712674,-0.023959192,-0.029187068,0.07783186,0.48814228,0.0,0.0,0.0,-1.0
100715956,100715854,0.045845143,-0.033791076,0.048229333,0.48814228,0.0,0.0,0.0,-1.0
100719164,100719062,0.11908885,-0.06140387,0.002403696,0.48814228,0.0,0.0,0.0,-1.0
100723242,100723124,0.020106291,-0.048482765,0.018394385,0.48814228,0.0,0.0,0.0,-1.0
100726379,100726273,0.010912562,-0.03879629,0.020125963,0.48814228,0.0,0.0,0.0,-1.0
100730374,100730272,0.09242926,-0.04642789,0.014790734,0.48814228,0.0,0.0,0.0,-1.0
100732888,100732737,0.05320479,-0.07379564,0.059840128,0.48814228,0.0,0.0,0.0,-1.0
100735963,100735854,-0.012731277,-0.049216177,0.068219736,0.56915045,0.0,0.0,0.0,-1.0
100740014,100739910,0.054658428,-0.040204443,0.0717102,0.56915045,0.0,0.0,0.0,-1.0
100744008,100743862,0.099194594,-0.081320554,0.12389341,0.56915045,0.0,0.0,0.0,-1.0
100747170,100747062,0.0013974044,-0.065059096,0.09484768,0.56915045,0.0,0.0,0.0,-1.0
100751168,100751056,0.055080984,-0.03950498,0.08569802,0.56915045,0.0,0.0,0.0,-1.0
100755959,100755855,0.077125564,-0.071358636,0.07380263,0.56915045,0.0,0.0,0.0,-1.0
100757562,100757454,0.013410198,-0.06229208,0.056057625,0.56915045,0.0,0.0,0.0,-1.0
100761558,100761456,0.041112646,-0.03544985,0.0163938,0.6425995,0.0,0.0,0.0,-1.0
100764011,100763902,0.14272244,-0.048233,0.023760092,0.6425995,0.0,0.0,0.0,-1.0
100767956,100767854,0.013879686,-0.06636224,-0.023100205,0.6425995,0.0,0.0,0.0,-1.0
100771967,100771856,0.0744702,-0.022542996,0.016103135,0.6425995,0.0,0.0,0.0,-1.0
100775164,100775062,0.16354194,-0.033718895,0.016530845,0.6425995,0.0,0.0,0.0,-1.0
100779158,100779056,0.028548136,-0.05997753,0.03407475,0.6425995,0.0,0.0,0.0,-1.0
100782387,100782256,0.080992736,-0.020822912,0.012152307,0.7149882,0.0,0.0,0.0,-1.0
100785556,100785454,0.10738387,-0.04081921,-0.01334881,0.7149882,0.0,0.0,0.0,-1.0
100789556,100789454,0.06611219,-0.052103214,0.009862045,0.7149882,0.0,0.0,0.0,-1.0
100792023,100791867,0.09048146,-0.019193923,0.034293734,0.7149882,0.0,0.0,0.0,-1.0
100795961,100795855,0.1234904,-0.029608985,0.016931256,0.7149882,0.0,0.0,0.0,-1.0
100800012,100799866,0.11554911,-0.025767602,-0.021826204,0.79050195,0.0,0.0,0.0,-1.0
