timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
76564096,76564096,8,41,0,0,20004,1560,1573,1403,1653,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
76756203,76756203,8,41,0,0,20003,1544,1558,1407,1527,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
76950717,76950717,8,41,0,0,20004,1526,1570,1353,1472,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
77164383,77164383,8,41,0,0,20004,1517,1564,1430,1491,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
77359447,77359447,8,41,0,0,20004,1508,1540,1564,1454,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
77574192,77574192,8,41,0,0,20003,1498,1518,1543,1483,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
77762992,77762992,8,41,0,0,20003,1500,1516,1541,1490,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
77973418,77973418,8,41,0,0,20003,1522,1517,1556,1489,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
78176386,78176386,8,41,0,0,20004,1543,1515,1691,1447,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
78390877,78390877,8,41,0,0,20004,1570,1495,1875,1491,1012,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
78586198,78586198,8,41,0,0,20003,1532,1491,1858,1452,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
78781668,78781668,8,41,0,0,20003,1507,1481,1824,1409,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
78996141,78996141,8,41,0,0,20003,1501,1483,1526,1381,1012,1512,1513,1529,0,0,0,0,0,0,0,0,0,0,0,0,2
79186450,79186450,8,41,0,0,20003,1511,1481,1160,1454,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
79401902,79401902,8,41,0,0,20003,1519,1482,1117,1512,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
79591220,79591220,8,41,0,0,20004,1521,1480,1116,1506,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
79804183,79804183,8,41,0,0,20004,1514,1479,1133,1466,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
79992820,79992820,8,41,0,0,20004,1515,1476,1553,1416,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
80207913,80207913,8,41,0,0,20003,1544,1486,1838,1449,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
80402673,80402673,8,41,0,0,20004,1550,1514,1863,1475,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
80617223,80617223,8,41,0,0,20003,1557,1515,1891,1477,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
80808306,80808306,8,41,0,0,20003,1563,1514,1894,1473,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
81017105,81017105,8,41,0,0,20003,1510,1458,1836,1426,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
81225882,81225882,8,41,0,0,20004,1503,1451,1576,1410,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
81417768,81417768,8,41,0,0,20003,1507,1459,1276,1438,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
81631344,81631344,8,41,0,0,20003,1509,1471,1117,1478,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
81821724,81821724,8,41,0,0,20003,1497,1484,1116,1475,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
82036916,82036916,8,41,0,0,20003,1497,1484,1286,1467,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
82229323,82229323,8,41,0,0,20003,1497,1497,1389,1465,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
82442582,82442582,8,41,0,0,20004,1501,1506,1700,1432,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
82633670,82633670,8,41,0,0,20004,1518,1512,1795,1448,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
82849433,82849433,8,41,0,0,20003,1535,1504,1807,1450,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
83041007,83041007,8,41,0,0,20004,1543,1482,1817,1446,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
83252592,83252592,8,41,0,0,20003,1540,1478,1814,1449,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
83444825,83444825,8,41,0,0,20004,1554,1493,1632,1453,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
83658480,83658480,8,41,0,0,20003,1562,1501,1178,1447,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
83847724,83847724,8,41,0,0,20004,1562,1504,1116,1434,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
84061649,84061649,8,41,0,0,20003,1566,1504,1116,1442,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
84252093,84252093,8,41,0,0,20003,1543,1507,1278,1423,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
84467579,84467579,8,41,0,0,20003,1528,1515,1526,1424,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
84660162,84660162,8,41,0,0,20004,1529,1514,1845,1408,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
84852941,84852941,8,41,0,0,20003,1522,1515,1897,1419,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
85065991,85065991,8,41,0,0,20003,1527,1491,1916,1448,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
85273989,85273989,8,41,0,0,20003,1538,1467,1913,1468,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
85467781,85467781,8,41,0,0,20004,1545,1468,1833,1511,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
85679017,85679017,8,41,0,0,20004,1540,1479,1415,1512,1012,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
85889710,85889710,8,41,0,0,20003,1532,1485,1116,1511,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
86081700,86081700,8,41,0,0,20004,1526,1498,1147,1455,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
86276730,86276730,8,41,0,0,20003,1526,1515,1238,1452,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
86489725,86489725,8,41,0,0,20004,1527,1514,1528,1484,1012,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
86697931,86697931,8,41,0,0,20003,1526,1514,1665,1467,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
86891828,86891828,8,41,0,0,20003,1533,1514,1717,1505,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
87106191,87106191,8,41,0,0,20003,1540,1514,1766,1512,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
87301763,87301763,8,41,0,0,20003,1543,1514,1740,1511,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
87512060,87512060,8,41,0,0,20003,1545,1514,1116,1468,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
87705349,87705349,8,41,0,0,20004,1544,1515,1117,1473,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
87920038,87920038,8,41,0,0,20003,1540,1516,1179,1438,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
88112025,88112025,8,41,0,0,20003,1534,1516,1415,1471,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
