timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
127472475,0.9898023,-2.4881347e-05,0.005623579,-0.14233707,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127476463,0.9899147,0.0002414408,0.0056870473,-0.1415506,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127480456,0.99002475,-4.8182013e-05,0.0057535325,-0.14077644,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127484454,0.99014187,5.4732693e-05,0.0057008695,-0.13995263,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127488464,0.99025565,0.00022576089,0.0058309278,-0.13913961,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127492502,0.9903773,-0.00012586135,0.005712444,-0.13827635,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127496470,0.9904998,0.00013704857,0.005713865,-0.13739525,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127500456,0.99061733,1.0150004e-05,0.0058944714,-0.13653833,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127504454,0.99074256,-0.00014361148,0.0056547737,-0.13563667,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127508454,0.9908747,0.00010216443,0.0056811497,-0.1346668,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127512466,0.9910064,-0.00026166125,0.0057717348,-0.13369052,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127516454,0.9911438,-0.00020724621,0.0055846656,-0.13267559,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127520463,0.9912837,-7.60628e-05,0.0056055943,-0.13162567,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127524479,0.99142903,-0.00058892823,0.0055238362,-0.13052852,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127528454,0.99158,-0.000345168,0.0054155877,-0.12938224,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127532458,0.99172974,-0.00042968127,0.0054367585,-0.1282278,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127536462,0.9918917,-0.0008573501,0.0051882593,-0.1269773,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127540456,0.9920613,-0.0005595889,0.0051099644,-0.12565066,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127545273,0.9922638,-0.000998872,0.0050482457,-0.12404108,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127549254,0.99243647,-0.0008577488,0.0047376794,-0.12266545,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127553256,0.9926105,-0.0008058814,0.0046892473,-0.12125135,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127557259,0.9927898,-0.0012823596,0.004487707,-0.11977773,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127561256,0.992971,-0.00092751667,0.0042634164,-0.11827784,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127565256,0.99314743,-0.001100854,0.0041705375,-0.116788305,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127569260,0.99333227,-0.0013817181,0.003797092,-0.11521628,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127573256,0.99351645,-0.001024993,0.003642378,-0.11362569,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127577265,0.99369615,-0.0014452066,0.0034822617,-0.112043604,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127581254,0.99387985,-0.0014088857,0.0031080288,-0.11041403,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127585257,0.9940591,-0.0012486419,0.0029564097,-0.10879447,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127589254,0.9942398,-0.0017259391,0.0027082784,-0.107130215,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127593296,0.9944257,-0.0015367898,0.00233152,-0.10540247,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127597309,0.9946037,-0.0015532299,0.00218541,-0.1037129,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127601256,0.9947773,-0.0020175665,0.0018367916,-0.102032945,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127605254,0.9949549,-0.0017745378,0.0015112653,-0.100297205,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127609254,0.9951259,-0.0019547266,0.0013058998,-0.098584585,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127613254,0.995298,-0.0022804553,0.0008857081,-0.09682915,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127617256,0.9954685,-0.0020495674,0.0006067364,-0.09506842,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127621257,0.99562943,-0.0023633523,0.0003593733,-0.0933615,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127625256,0.995794,-0.002506091,-7.247918e-05,-0.09158684,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127629260,0.9959554,-0.0023652024,-0.00038739658,-0.08981683,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127633254,0.99610984,-0.0026547557,-0.0006635189,-0.08807779,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127637281,0.99626625,-0.0026859527,-0.0010667929,-0.08628674,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127641256,0.99641615,-0.0026058075,-0.0013572964,-0.08453526,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127645254,0.99656063,-0.0028465963,-0.0016895374,-0.082800694,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127649273,0.9967063,-0.0028358838,-0.0021089343,-0.08101889,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127653260,0.99684954,-0.0027413578,-0.002378899,-0.07923296,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127657260,0.9969844,-0.0028969587,-0.0026992608,-0.077501655,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127661254,0.9971169,-0.0028968754,-0.0030723938,-0.07576333,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127665260,0.9972495,-0.0028171241,-0.0034019656,-0.07398614,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127669254,0.9973753,-0.0028661224,-0.0037133007,-0.07225279,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127673260,0.9974983,-0.002840446,-0.00402982,-0.07052031,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127677340,0.99761754,-0.002768604,-0.0043541417,-0.068795204,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127681254,0.9977245,-0.002759285,-0.0046323,-0.06720809,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127685256,0.9978274,-0.0027145757,-0.0049224757,-0.06564218,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127689263,0.99792767,-0.002615802,-0.0051791365,-0.06408379,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127693256,0.99802405,-0.0025530749,-0.0053487197,-0.062553495,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127698054,0.99812853,-0.0024701578,-0.0055169817,-0.060852587,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127702054,0.9982121,-0.0023761878,-0.0056642275,-0.05945466,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127706056,0.9982952,-0.0022927423,-0.005713558,-0.058041684,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127710060,0.9983731,-0.0021099937,-0.005708433,-0.056694042,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127714054,0.9984443,-0.0020500855,-0.005673006,-0.055430707,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127718054,0.9985148,-0.0018743082,-0.0056140292,-0.054158922,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127722083,0.9985841,-0.0017249978,-0.0055261385,-0.052879818,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127726067,0.99864894,-0.0015422582,-0.0053237327,-0.051668987,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127730054,0.9987084,-0.0013736848,-0.00514106,-0.050528318,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127734054,0.9987678,-0.0011859516,-0.0049354685,-0.049368143,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127738060,0.99882615,-0.0009792049,-0.004678382,-0.048204,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127742054,0.99888015,-0.00076199416,-0.0044140765,-0.0470998,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127746063,0.9989304,-0.00055717805,-0.004107052,-0.046053465,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127750054,0.99897957,-0.0003383962,-0.0038032797,-0.045004234,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127754054,0.99902827,-9.264928e-05,-0.0034869576,-0.043936547,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127758062,0.9990736,0.0001293971,-0.0031513162,-0.04292017,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127762054,0.99911505,0.00039784831,-0.0027886939,-0.041966777,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127766054,0.99915546,0.0006113426,-0.0024195302,-0.041015558,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127770062,0.99919575,0.00088017347,-0.0020668039,-0.040035956,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127774083,0.9992333,0.0011343192,-0.0017219606,-0.039096866,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127778122,0.9992688,0.0014103723,-0.0013649227,-0.038187407,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127782067,0.99930257,0.0016311716,-0.00096538797,-0.037292354,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127786054,0.9993382,0.001903246,-0.00063162873,-0.036320552,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127790054,0.99937385,0.0021497386,-0.00028610398,-0.03531758,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127794069,0.9994078,0.0024115138,4.2325446e-05,-0.034323957,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127798075,0.9994407,0.0026047768,0.0004160889,-0.03333865,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127802054,0.99947333,0.0028062765,0.0007436069,-0.03232087,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127806054,0.99950707,0.0030020257,0.0010645327,-0.031235551,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127810057,0.9995393,0.0031475353,0.0013550096,-0.030155454,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127814054,0.9995704,0.0033046722,0.0016810294,-0.029073024,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127818060,0.9996013,0.0033533375,0.0020264578,-0.027962476,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127822054,0.99963224,0.0034696462,0.0022966708,-0.026797533,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127826070,0.9996627,0.0034956622,0.002542808,-0.02561305,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127830054,0.9996915,0.0035307156,0.0028037475,-0.024427224,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127834054,0.9997201,0.0034847246,0.00310346,-0.02319592,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127838063,0.99974865,0.003444824,0.003367845,-0.021898327,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127842054,0.9997763,0.0033914323,0.003559772,-0.02057435,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127846906,0.9998086,0.0032871126,0.0037745335,-0.018915208,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127850854,0.9998343,0.0031905095,0.0039698672,-0.017478678,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127854854,0.9998586,0.003112268,0.0041924934,-0.015982296,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127858904,0.9998814,0.0030304277,0.004310343,-0.014471621,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127862854,0.99990225,0.0029195652,0.004379269,-0.012956837,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127866860,0.9999218,0.0028962248,0.004493002,-0.011307448,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127870857,0.9999393,0.0028368838,0.0046104924,-0.00959173,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127874854,0.9999538,0.002859598,0.004710042,-0.00788935,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127878917,0.9999662,0.0028663806,0.004693873,-0.0061130812,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127882854,0.9999753,0.0029906568,0.004715312,-0.004265197,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127886882,0.99998087,0.003211526,0.0047265682,-0.002362199,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127890854,0.999983,0.0034156977,0.0047162436,-0.00044967083,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127894860,0.99998057,0.003874399,0.004647109,0.0015435776,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127898914,0.99997413,0.004231045,0.004592847,0.0035634162,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127902854,0.99996316,0.0048347996,0.004453648,0.005536561,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127906854,0.99994594,0.0055617187,0.004355198,0.0076304907,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127910854,0.9999242,0.006299412,0.004239839,0.009702022,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127914889,0.99989647,0.007244775,0.0040849983,0.011748586,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127918854,0.9998624,0.008391876,0.003962745,0.013756925,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127922857,0.99982244,0.009590968,0.0037844921,0.01577249,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127926854,0.999776,0.010873592,0.0036402547,0.017789086,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127930854,0.9997195,0.012615188,0.0034931519,0.019742649,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127934854,0.9996607,0.0141245555,0.0034662124,0.021613592,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127938857,0.9995936,0.015931414,0.0033283914,0.023403956,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127942885,0.9995111,0.018159637,0.0032257382,0.025247088,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127946854,0.9994293,0.020109696,0.0033061858,0.026943414,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127950870,0.9993325,0.022415984,0.0033397267,0.02865242,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127954854,0.99922216,0.024993038,0.003464847,0.030307848,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
